序號,姓名,職位/角色,主要貢獻,出現次數,完整描述
1,吳銘軒,整理意見者 / 參與討論者,提供關於公費助理資訊揭露的說明，澄清「陽光法案」與「公費助理親屬關係」的區別，並指出民眾對助理名額用於家人之際的關注，強調應適度揭露，而非完全禁止；同時表示所提內容為基於蒐集到的意見整理，並非主張強制性規範。,37,吳銘軒 - 整理意見者 / 參與討論者 - 提供關於公費助理資訊揭露的說明，澄清「陽光法案」與「公費助理親屬關係」的區別，並指出民眾對助理名額用於家人之際的關注，強調應適度揭露，而非完全禁止；同時表示所提內容為基於蒐集到的意見整理，並非主張強制性規範。 (AI識別出現 37 次)
2,主席,職位/角色：會議主持人 / 指導者,主要貢獻或發言重點：總結並釐清討論方向，指出國會頻道與網站優化的功能限制，提出將「便於人民參與的國會」與多語言需求納入國會頻道2.0優化，並強調網站功能會分散至多個小組，不應由單一組別專責處理，建議需跨組協調。,25,主席 - 職位/角色：會議主持人 / 指導者 - 主要貢獻或發言重點：總結並釐清討論方向，指出國會頻道與網站優化的功能限制，提出將「便於人民參與的國會」與多語言需求納入國會頻道2.0優化，並強調網站功能會分散至多個小組，不應由單一組別專責處理，建議需跨組協調。 (AI識別出現 25 次)
3,于顥,進度負責人 / 專案執行者,回應周老師關於「現況與挑戰」的問題，說明其本質是反映民眾在使用國會頻道或參與國會時所遇到的困難，並強調現有民眾意見與各組改善建議已具備填入表格的基礎；同時指出各組在資訊整理與邏輯呈現上存在差異，需進一步統一。,23,于顥 - 進度負責人 / 專案執行者 - 回應周老師關於「現況與挑戰」的問題，說明其本質是反映民眾在使用國會頻道或參與國會時所遇到的困難，並強調現有民眾意見與各組改善建議已具備填入表格的基礎；同時指出各組在資訊整理與邏輯呈現上存在差異，需進一步統一。 (AI識別出現 23 次)
4,會議參與者（未具體命名）,記錄表設計與內容規劃者,主導說明紀錄表的結構與內容安排，提出「現況與挑戰」、「主要目標」、「風險評估」三大欄位的設計邏輯，並說明其來源為OGP行動方案承諾範本，強調欄位內容反映分組討論成果，包含對系統使用困難、資訊整合與個資風險的考量，同時提出OGP原則的應用與開放討論空間。,9,會議參與者（未具體命名） - 記錄表設計與內容規劃者 - 主導說明紀錄表的結構與內容安排，提出「現況與挑戰」、「主要目標」、「風險評估」三大欄位的設計邏輯，並說明其來源為OGP行動方案承諾範本，強調欄位內容反映分組討論成果，包含對系統使用困難、資訊整合與個資風險的考量，同時提出OGP原則的應用與開放討論空間。 (AI識別出現 9 次)
5,耿璐,開放文化基金會代表 / 識讀教育專案負責人,主要貢獻或發言重點：提出「國會運作科普說明方案」，針對民眾對法案流程、立委職責、委員會運作及預算理解不足的問題，建議發展一套包含法案流程、立委職責、預算解析與內部行政機制的科普內容；並強調將相關素材以CC授權方式開放，鼓勵民間創作者自行開發如桌遊、手遊或線上遊戲等互動形式，以提升民眾對國會運作的理解與參與。,7,耿璐 - 開放文化基金會代表 / 識讀教育專案負責人 - 主要貢獻或發言重點：提出「國會運作科普說明方案」，針對民眾對法案流程、立委職責、委員會運作及預算理解不足的問題，建議發展一套包含法案流程、立委職責、預算解析與內部行政機制的科普內容；並強調將相關素材以CC授權方式開放，鼓勵民間創作者自行開發如桌遊、手遊或線上遊戲等互動形式，以提升民眾對國會運作的理解與參與。 (AI識別出現 7 次)
6,吳銘軒,彰化縣議員（或相關政策彙整負責人）,主要貢獻或發言重點：提出9月底公布過去意見彙整的計畫，說明將整理各組收攬意見的過程、分組方式，並公開未納入的意見原因；強調需統一語言與格式將各組內容合併，形成階段性草稿，展現對透明化與流程清晰化的重視。,6,吳銘軒 - 彰化縣議員（或相關政策彙整負責人） - 主要貢獻或發言重點：提出9月底公布過去意見彙整的計畫，說明將整理各組收攬意見的過程、分組方式，並公開未納入的意見原因；強調需統一語言與格式將各組內容合併，形成階段性草稿，展現對透明化與流程清晰化的重視。 (AI識別出現 6 次)
7,吳銘軒,行動方案推動者 / 討論參與者,提出行動方案應在執行前確立，強調在確定了行動方案後才應從民眾意見中出發進行執行；並以「國會頻道改善」為例，說明行動方案應明確回答「哪些問題需要解決」、「為什麼要做」，強調執行階段需有具體的範圍與判斷標準，避免僅依賴民眾許願導致結果混亂或失敗。,6,吳銘軒 - 行動方案推動者 / 討論參與者 - 提出行動方案應在執行前確立，強調在確定了行動方案後才應從民眾意見中出發進行執行；並以「國會頻道改善」為例，說明行動方案應明確回答「哪些問題需要解決」、「為什麼要做」，強調執行階段需有具體的範圍與判斷標準，避免僅依賴民眾許願導致結果混亂或失敗。 (AI識別出現 6 次)
8,蕭新晟,IRM相關報告組長 / NDIA溝通負責人,提出NDI在OGP開放國會track中關於新型態IRM的兩種可能性：一是由民間組織（CSO）帶領的「alternative reporting」模式，類似現行影子報告方式，並以中亞吉爾吉斯為實驗案例；二是「peer review」模式，即國會間互相審查，由第三方進行IRM，並說明此模式與我方現有做法的可比性與潛在應用價值。,5,蕭新晟 - IRM相關報告組長 / NDIA溝通負責人 - 提出NDI在OGP開放國會track中關於新型態IRM的兩種可能性：一是由民間組織（CSO）帶領的「alternative reporting」模式，類似現行影子報告方式，並以中亞吉爾吉斯為實驗案例；二是「peer review」模式，即國會間互相審查，由第三方進行IRM，並說明此模式與我方現有做法的可比性與潛在應用價值。 (AI識別出現 5 次)
9,王向榮,數位化的國會組別負責人 / 多組議題整合推動者,介紹本組為「數位化的國會」，並說明其討論方式為全面檢視所有項目，主動納入相關議題，針對模糊議題提出進一步釐清與討論的態度，強調跨組協作與整合。,5,王向榮 - 數位化的國會組別負責人 / 多組議題整合推動者 - 介紹本組為「數位化的國會」，並說明其討論方式為全面檢視所有項目，主動納入相關議題，針對模糊議題提出進一步釐清與討論的態度，強調跨組協作與整合。 (AI識別出現 5 次)
10,立法院立法程序相關單位（未具體命名）,資料開放與透明化推動者,提出立法程序中資料公開的建議，強調應公開立法過程中的質詢內容、政府提供的資料，並改善資料呈現方式，使民眾能更易理解；同時建議盤點資料更新頻率與時間落差，彌補資訊釋出時的不一致問題。,5,立法院立法程序相關單位（未具體命名） - 資料開放與透明化推動者 - 提出立法程序中資料公開的建議，強調應公開立法過程中的質詢內容、政府提供的資料，並改善資料呈現方式，使民眾能更易理解；同時建議盤點資料更新頻率與時間落差，彌補資訊釋出時的不一致問題。 (AI識別出現 5 次)
