序號,姓名,職位/角色,主要貢獻,出現次數,完整描述
1,主席,會議主持人（可能為立法機構或相關單位的負責人）,主要貢獻或發言重點：引導會議討論，確認9月底公布內容的性質為「歷程與產出內容」，並釐清應公開的範圍（如表格版、未納入原因等）；同時回應簡信昌關於國會網站優化不需歸屬特定組別的提議，顯示其在協調與確認議程方向上的角色。,38,主席 - 會議主持人（可能為立法機構或相關單位的負責人） - 主要貢獻或發言重點：引導會議討論，確認9月底公布內容的性質為「歷程與產出內容」，並釐清應公開的範圍（如表格版、未納入原因等）；同時回應簡信昌關於國會網站優化不需歸屬特定組別的提議，顯示其在協調與確認議程方向上的角色。 (AI識別出現 38 次)
2,于顥,副職/專案負責人,回應周老師的問題，說明「現況與挑戰」是針對民眾實際使用經驗中遇到的困難，並強調該部分應基於已整理的民眾意見與各組提出的改善方向，指出目前資料已具備填入表格的基礎，同時也提到各組在資訊整理方式與邏輯上存在差異，需進一步統一。,29,于顥 - 副職/專案負責人 - 回應周老師的問題，說明「現況與挑戰」是針對民眾實際使用經驗中遇到的困難，並強調該部分應基於已整理的民眾意見與各組提出的改善方向，指出目前資料已具備填入表格的基礎，同時也提到各組在資訊整理方式與邏輯上存在差異，需進一步統一。 (AI識別出現 29 次)
3,會議參與者（未具體命名）,會議討論者 / 建議提出者,提出針對四項議題各製作一份科普說明並授權釋出的構想；討論現有頻道優化與推廣的分工，強調推廣側重於如何宣傳優化後的系統，並提出民眾意見中關於議會法案進度在公共電視或新聞台跑馬燈顯示的建議；進一步提出應與秘書處公共關係事務室協調，探討如何有效推廣現有國會資源（如APP），並指出推廣應在系統建置或資料統整完成後，於第二輪進行。,23,會議參與者（未具體命名） - 會議討論者 / 建議提出者 - 提出針對四項議題各製作一份科普說明並授權釋出的構想；討論現有頻道優化與推廣的分工，強調推廣側重於如何宣傳優化後的系統，並提出民眾意見中關於議會法案進度在公共電視或新聞台跑馬燈顯示的建議；進一步提出應與秘書處公共關係事務室協調，探討如何有效推廣現有國會資源（如APP），並指出推廣應在系統建置或資料統整完成後，於第二輪進行。 (AI識別出現 23 次)
4,曾柏瑜,監督議員團體成員 / 組織代表,提出關於立委助理資訊公開的議題，強調現行法源上的困難，並說明監督議員團體在實際操作中發現立委透過公司承包產業（如綠能、人力仲介）的現象，呼籲針對助理資訊公開的範圍進行深入討論，特別指出目前資訊多為「undertable」（隱藏狀態），需透過法源依據（如陽光法案）來推動透明化。,14,曾柏瑜 - 監督議員團體成員 / 組織代表 - 提出關於立委助理資訊公開的議題，強調現行法源上的困難，並說明監督議員團體在實際操作中發現立委透過公司承包產業（如綠能、人力仲介）的現象，呼籲針對助理資訊公開的範圍進行深入討論，特別指出目前資訊多為「undertable」（隱藏狀態），需透過法源依據（如陽光法案）來推動透明化。 (AI識別出現 14 次)
5,吳銘軒,行動方案建議者 / 討論參與者,提出行動方案應在執行前確立，強調在確定了行動項目與範圍後，才應從民眾意見中出發進行改善，並指出網站優化需結合實際測試與民眾判斷，避免僅依賴民眾許願導致結果混亂，主張應建立更穩健的評估機制與por typing（使用者測試）流程。,13,吳銘軒 - 行動方案建議者 / 討論參與者 - 提出行動方案應在執行前確立，強調在確定了行動項目與範圍後，才應從民眾意見中出發進行改善，並指出網站優化需結合實際測試與民眾判斷，避免僅依賴民眾許願導致結果混亂，主張應建立更穩健的評估機制與por typing（使用者測試）流程。 (AI識別出現 13 次)
6,耿璐,補充與實務操作者,主要貢獻或發言重點：補充說明表格僅作為資料整理的框架，強調實際操作中無需過度精細填寫，對於不清楚或暫時無法回答的項目可選擇不填；主張應聚焦於填入「主要目標」等核心內容，並避免使用多種不同模式整理資料，以確保一致性與實用性，將表格視為「N次貼」的簡易工具。,10,耿璐 - 補充與實務操作者 - 主要貢獻或發言重點：補充說明表格僅作為資料整理的框架，強調實際操作中無需過度精細填寫，對於不清楚或暫時無法回答的項目可選擇不填；主張應聚焦於填入「主要目標」等核心內容，並避免使用多種不同模式整理資料，以確保一致性與實用性，將表格視為「N次貼」的簡易工具。 (AI識別出現 10 次)
7,吳處長慧玲,秘書處處長/行政主管,說明院內單位參與的重要性，建議下一次會議邀請各單位主管列席，強調政策建議需結合法規程序、經費編列與法規修正等實際執行考量，並提出具體的會議改進方向,7,吳處長慧玲 - 秘書處處長/行政主管 - 說明院內單位參與的重要性，建議下一次會議邀請各單位主管列席，強調政策建議需結合法規程序、經費編列與法規修正等實際執行考量，並提出具體的會議改進方向 (AI識別出現 7 次)
8,周韻采,工作人員 / 建議者,建議暫不直接使用現有表格進行風險評估，強調應先以Excel表整理各組委員討論與民眾反映的具體行為內容，並透過後續比對與審查，釐清項目重複或錯誤，再決定是否進階至IRM階段；認為此過程更貼近實際操作與與立法院溝通的需要，避免過早進入過於複雜的評估報告。,7,周韻采 - 工作人員 / 建議者 - 建議暫不直接使用現有表格進行風險評估，強調應先以Excel表整理各組委員討論與民眾反映的具體行為內容，並透過後續比對與審查，釐清項目重複或錯誤，再決定是否進階至IRM階段；認為此過程更貼近實際操作與與立法院溝通的需要，避免過早進入過於複雜的評估報告。 (AI識別出現 7 次)
9,侯宜秀,提案與建議者,建議下次大會改採「uncomp」方式排座位，設置五至六個主題角落，鼓勵參與者走動討論，並提出分組後由各主題負責人整理行動項目（action item），強調討論應更彈性且避免跑圈，主張透過實際走動與互動提升討論效率。,6,侯宜秀 - 提案與建議者 - 建議下次大會改採「uncomp」方式排座位，設置五至六個主題角落，鼓勵參與者走動討論，並提出分組後由各主題負責人整理行動項目（action item），強調討論應更彈性且避免跑圈，主張透過實際走動與互動提升討論效率。 (AI識別出現 6 次)
10,王文岳,國會資訊組或數位化國會組成員,補充意見指出立法院資料的授權狀態（license）不透明，建議由「便於取得利用的國會資訊組」與「數位化國會組」共同討論著作權法相關問題，釐清哪些資料屬著作權標的、哪些不屬，並提出應在公開時明確標示，例如標示「不受著作權保護」或「受著作權保護（如直播影片）」，以提升民眾使用透明度與正確理解。,6,王文岳 - 國會資訊組或數位化國會組成員 - 補充意見指出立法院資料的授權狀態（license）不透明，建議由「便於取得利用的國會資訊組」與「數位化國會組」共同討論著作權法相關問題，釐清哪些資料屬著作權標的、哪些不屬，並提出應在公開時明確標示，例如標示「不受著作權保護」或「受著作權保護（如直播影片）」，以提升民眾使用透明度與正確理解。 (AI識別出現 6 次)
